name	within	uri	long	lat	types
Cook Islands		http://aims.fao.org/aos/geopolitical.owl#Cook_Islands_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Costa Rica		http://aims.fao.org/aos/geopolitical.owl#Costa_Rica			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
C&#244;te d'Ivoire		http://aims.fao.org/aos/geopolitical.owl#Cote_d_Ivoire			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Croatia		http://aims.fao.org/aos/geopolitical.owl#Croatia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cuba		http://aims.fao.org/aos/geopolitical.owl#Cuba			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cura&#231;ao		http://aims.fao.org/aos/geopolitical.owl#Curacao			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Cyprus		http://aims.fao.org/aos/geopolitical.owl#Cyprus			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Czech Republic		http://aims.fao.org/aos/geopolitical.owl#Czech_Republic_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Czechoslovakia		http://aims.fao.org/aos/geopolitical.owl#Czechoslovakia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
North Korea		http://aims.fao.org/aos/geopolitical.owl#Democratic_People_s_Republic_of_Korea_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Democratic Republic of the Congo		http://aims.fao.org/aos/geopolitical.owl#Democratic_Republic_of_the_Congo			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Yemen, Democratic		http://aims.fao.org/aos/geopolitical.owl#Democratic_Yemen			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Denmark		http://aims.fao.org/aos/geopolitical.owl#Denmark			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Djibouti		http://aims.fao.org/aos/geopolitical.owl#Djibouti			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Dominica		http://aims.fao.org/aos/geopolitical.owl#Dominica			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Dominican Republic		http://aims.fao.org/aos/geopolitical.owl#Dominican_Republic_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Ecuador		http://aims.fao.org/aos/geopolitical.owl#Ecuador			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Egypt		http://aims.fao.org/aos/geopolitical.owl#Egypt			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
El Salvador		http://aims.fao.org/aos/geopolitical.owl#El_Salvador			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Equatorial Guinea		http://aims.fao.org/aos/geopolitical.owl#Equatorial_Guinea			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Eritrea		http://aims.fao.org/aos/geopolitical.owl#Eritrea			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Estonia		http://aims.fao.org/aos/geopolitical.owl#Estonia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Ethiopia		http://aims.fao.org/aos/geopolitical.owl#Ethiopia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Ethiopia_1993		http://aims.fao.org/aos/geopolitical.owl#Ethiopia_1993			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Europe		http://aims.fao.org/aos/geopolitical.owl#Europe			loc;group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Falkland Islands		http://aims.fao.org/aos/geopolitical.owl#Falkland_Is			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Faroe Islands		http://aims.fao.org/aos/geopolitical.owl#Faroe_Islands			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Germany, Federal Republic of		http://aims.fao.org/aos/geopolitical.owl#Federal_Republic_of_Germany_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Fiji		http://aims.fao.org/aos/geopolitical.owl#Fiji			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Finland		http://aims.fao.org/aos/geopolitical.owl#Finland			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
France		http://aims.fao.org/aos/geopolitical.owl#France			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
French Guiana		http://aims.fao.org/aos/geopolitical.owl#French_Guiana			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
French Polynesia		http://aims.fao.org/aos/geopolitical.owl#French_Polynesia			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Gabon		http://aims.fao.org/aos/geopolitical.owl#Gabon			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Gambia		http://aims.fao.org/aos/geopolitical.owl#Gambia__the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Georgia		http://aims.fao.org/aos/geopolitical.owl#Georgia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
German Democratic Republic		http://aims.fao.org/aos/geopolitical.owl#German_Democratic_Republic_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Germany		http://aims.fao.org/aos/geopolitical.owl#Germany			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Ghana		http://aims.fao.org/aos/geopolitical.owl#Ghana			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Gibraltar		http://aims.fao.org/aos/geopolitical.owl#Gibraltar			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Greece		http://aims.fao.org/aos/geopolitical.owl#Greece			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Grenada		http://aims.fao.org/aos/geopolitical.owl#Grenada			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guadeloupe		http://aims.fao.org/aos/geopolitical.owl#Guadeloupe			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guam		http://aims.fao.org/aos/geopolitical.owl#Guam			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guatemala		http://aims.fao.org/aos/geopolitical.owl#Guatemala			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guinea		http://aims.fao.org/aos/geopolitical.owl#Guinea			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guinea-Bissau		http://aims.fao.org/aos/geopolitical.owl#Guinea-Bissau			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Guyana		http://aims.fao.org/aos/geopolitical.owl#Guyana			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Haiti		http://aims.fao.org/aos/geopolitical.owl#Haiti			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Holy See		http://aims.fao.org/aos/geopolitical.owl#Holy_See			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Honduras		http://aims.fao.org/aos/geopolitical.owl#Honduras			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
