uri	name	types	within	lat	long
http://aims.fao.org/aos/geopolitical.owl#Gambia__the	Gambia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Georgia	Georgia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#German_Democratic_Republic_the	German Democratic Republic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Germany	Germany	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Ghana	Ghana	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Gibraltar	Gibraltar	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Greece	Greece	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Grenada	Grenada	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guadeloupe	Guadeloupe	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guam	Guam	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guatemala	Guatemala	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guinea	Guinea	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guinea-Bissau	Guinea-Bissau	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Guyana	Guyana	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Haiti	Haiti	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Holy_See	Holy See	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Honduras	Honduras	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Hungary	Hungary	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Iceland	Iceland	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#India	India	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Indonesia	Indonesia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
