original|improved
FEDERATION AMER SOC EXP BIOL|FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGY
FEDERATION AMERICAN SOCIETY EXP BIOL|FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGY
FEDERATON OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGY BIOL|FEDERATON OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGY
FEDERATION AMERICAN SOCIETY EXP|FEDERATON OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGY
FRESHWATER BIOLOGICAL ASSOC|FRESHWATER BIOLOGICAL ASSOCIATION
GENETICS SOC AM|GENETICS SOCIETY OF AMERICA
GENETICS SOCIETY AMERICA|GENETICS SOCIETY OF AMERICA
GEOLOGICAL SOC AMER, INC|GEOLOGICAL SOCIETY OF AMERICA, INC
GEOLOGICAL SOC PUBL HOUSE|GEOLOGICAL SOCIETY PUBLISHERS HOUSE
GERONTOLOGICAL SOC AMER|GERONTOLOGICAL SOCIETY OF AMERICA
GIGA INST AFRICAN AFFAIRS|GIGA INSTITUTE OF AFRICAN AFFAIRS
HISTORICAL SOC PA|HISTORICAL SOCIETY OF PENNSYLVANIA
HOSOKAWA POWDER TECHNOL FOUNDATION|HOSOKAWA POWDER TECHNOLOGY FOUNDATION
HUMAN KINETICS PUBL INC|HUMAN KINETICS PUBLISHERS INC
HUMAN KINETICS PUBLISHING INC|HUMAN KINETICS PUBLISHERS INC
HUNTER COLLEGE-CUNY, CENTER PUERTO RICAN STUDIES|HUNTER COLLEGE-CUNY, CENTER FOR PUERTO RICAN STUDIES
ICE PUBLISHING|INSTITUTION OF CIVIL ENGINEERS PUBLISHING
IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC|INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS
INDEPENDENT INST|THE INDEPENDENT INSTITUTE
INDIAN ACAD SCIENCES|INDIAN ACADEMY OF SCIENCES
INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS|INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS
IGI PUBL|IGI PUBLISHER
INST BIOLOGIA, UNIV NACIONAL AUTONOMA MEXICO|INSTITUTE DE BIOLOGIA, UNIVERSITY NACIONAL AUTONOMA MEXICO
INST CHEMICAL ENGINEERS|INSTITUTE OF CHEMICAL ENGINEERS
INST ENGINEERING TECHNOLOGY-IET|INSTITUTE OF ENGINEERING TECHNOLOGY
INST LOCAL SELF-GOVERNMENT PUBLIC PROCUREMENT MARIBOR|INSTITUTE OF LOCAL SELF-GOVERNMENT PUBLIC PROCUREMENT MARIBOR
INST MATHEMATICAL STATISTICS|INSTITUTE OF MATHEMATICAL STATISTICS
INST TRANSPORTATION ENGINEERS|INSTITUTE OF TRANSPORTATION ENGINEERS
INSTITUTE HISTOL EMBRIOL-CONICET|INSTITUTE OF HISTOLOGY AND EMBRYOLOGY (IHEM-CONICET)
INT ASSOC PLANT TAXONOMY-IAPT|INTERNATIONAL ASSOCIATION FOR PLANT TAXONOMY
INT BEE RESEARCH ASSOC|INTERNATIONAL BEE RESEARCH ASSOCIATION
INT FOOD and AGRIBUSINESS MANAGEMENT REVIEW|INTERNATIONAL FOOD AND AGRIBUSINESS MANAGEMENT REVIEW
INT INFORMATION INST|INTERNATIONAL INFORMATION INSTITUTE
INT MEDICAL PRESS LTD|INTERNATIONAL MEDICAL PRESS LIMITED
INT SCIENTIFIC LITERATURE, INC|INTERNATIONAL SCIENTIFIC LITERATURE, INC
INT SOC BAYESIAN ANALYSIS|INTERNATIONAL SOCIETY FOR BAYESIAN ANALYSIS
INT MARKETING REPORTS LTD|INTERNATIONAL MARKETING REPORTS LTD
IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOM|IRANIAN SCIENTIFIC SOCIETY MEDICAL ENTOMMOLOGY
IVYSPRING INT PUBL|IVYSPRING INTERNATIONAL PUBLISHER
J O S P T|JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY
J RHEUMATOL PUBL CO|JOURNAL OF RHEUMATOLOGY PUBLISHING COMPANY
J ROSS PUBL|J ROSS PUBLISHING INC
JAPAN SOC APPLIED PHYSICS|JAPAN SOCIETY OF APPLIED PHYSICS  
JAPAN SOC VET SCI|JAPANESE SOCIETY OF VETERINARY SCIENCE
JMNI|JOURNAL OF MUSCULOSKELETAL AND NEURONAL INTERACTIONS 
JOHN WILEY \& SONS INC|JOHN WILEY AND SONS INC
JOURNAL APPL BEHAV ANAL|JOURNAL OF APPLIED BEHAVIORAL ANALYSIS
JOURNAL FIELD ARCHEOLOGY|JOURNAL OF FIELD ARCHEOLOGY
JOURNAL PEDODONTICS INC|THE JOURNAL OF PEDODONTICS
JOURNAL WUHAN UNIV TECHNOLOGY|JOURNAL OF THE WUHAN UNIVERSITY OF TECHNOLOGY
KARST RESEARCH INST ZRC SAZU|KARST RESEARCH INSTITUTE-ZRC SAZU
KAFKAS UNIV, VETERINER FAKULTESI DERGISI|JOURNAL OF THE FACULTY OF VETERINARY MEDICINE, KAFKAS UNIVERSITY
KOREAN METEOROLOGICAL SOC|KOREAN METEOROLOGICAL SOCIETY
KOREAN NEUROLOGICAL ASSOC|KOREAN NEUROLOGICAL ASSOCIATION
KOREAN SOCIETY MICROBIOLOGY AND BIOTECHN|KOREAN SOCIETY MICROBIOLOGY AND BIOTECHNOLOGY
KOREAN SOC APPLIED ENTOMOLOGY|KOREAN SOCIETY OF APPLIED ENTOMOLOGY
KOREAN SOC MECHANICAL ENGINEERS|KOREAN SOCIETY OF MECHANICAL ENGINEERS
KOREAN SOC PARASITOLOGY, SEOUL NATL UNIV COLL MEDI|KOREAN JOURNAL OF PARASITOLOGY
Korean Society Phycology|THE KOREAN SOCIETY OF PHYCOLOGY
Max Planck Institut Gravitational Physic|MAX PLANCK INSTITUT  GRAVITATIONAL  PHYSICS-ALBERT EINSTEIN INSTITUTE
MDPI AG|MULTIDISCIPLINARY DIGITAL PUBLISHING INSTITUTE AG
MEDKNOW PUBLICATIONS \& MEDIA PVT LTD|MEDKNOW PUBLICATIONS AND MEDIA PVT LTD
MICHIGAN STATE UNIV PRESS|MICHIGAN STATE UNIVERSITY PRESS
MICROBIOLOGICAL SOCIETY KOREA|MICROBIOLOGICAL SOCIETY OF KOREA
MINN LAW REVIEW FOUND|MINNESOTA LAW REVIEW FOUNDATION
