uri	deptid	photo	type	name	title
http://vivo.ufl.edu/individual/n8097	29190100;29190000;29190300;29190200		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Hosaka, Koji	
http://vivo.ufl.edu/individual/n8099166610	16340000;16340100;16347000;16342000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Rothschild, Nathan	
http://vivo.ufl.edu/individual/n8101	19079000;19070100;19070000;19070300;19070200	davis.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Davis, Justin R	Research Assistant Scientist
http://vivo.ufl.edu/individual/n810253021	60970000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Settle, Quisto	
http://vivo.ufl.edu/individual/n8105	29040200;29040100;29040000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Lucas, Stephen D	Clinical Associate Professor
http://vivo.ufl.edu/individual/n81073	29051306;29051307;29051304;29051305;29051302;29051303;29051300;29051301		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Womer, Karl L	Professor
http://vivo.ufl.edu/individual/n81077	30060000;30180000;30180100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Bautista, Ramon Edmundo D	Associate Professor
http://vivo.ufl.edu/individual/n811	29130700;29131600;29130400;29131200;29130100;29131500;29130500;29130200;29130900;29131100;29131400;29131000;29130600;29130300;29131300;29130000	Jonathan_williams.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;BX2D6a5ca38cX3A13cdf8e32f9X3AX2D2a14;BX2D6a5ca38cX3A13cdfc6024eX3AX2D747f;http://www.w3.org/2002/07/owl#Thing;Ba7d204X3A135d4c20164X3AX2Ddc;BX2D6a5ca38cX3A13cdfe288d8X3AX2D3cee;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Williams, Jon L	Professor and Associate Chr
http://vivo.ufl.edu/individual/n8110	29200200;29200700;29200300;29200400;29200000;29200500;29200100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Kahler, Darren Lee	Associate Professor
http://vivo.ufl.edu/individual/n8112559096	26050500;26050100;26050600;26050200;26050300;26050400;26050000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Anderson-Lewis, Charkarra	Assistant Professor
http://vivo.ufl.edu/individual/n8113	29140101;29140100;29140103;29140102;29140000;29142200;29141600;29141800;29141700;29141003;29141002;29141001;29141000;29142100;29141100;29142000;29141200;29141300;29141004;29141900;29140500;29140400;29140401;29140402;29140403;29140300;29141400;29140200;29141500		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivoweb.org/ontology/core#Postdoc;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#NonFacultyAcademic	Han, Song	Postdoctoral Associate
