uri	abbreviation	url	number	name	photo
http://vivo.ufl.edu/individual/n3856158329			464	Alcohol Storage Facility	
http://vivo.ufl.edu/individual/n3860275934			218	Vet Med Equine Barn	
http://vivo.ufl.edu/individual/n3861174178			1094	Sports Sign Hull Rd	
http://vivo.ufl.edu/individual/n386251445			874	Institute of Black Culture	
http://vivo.ufl.edu/individual/n3893503198			27	University Police	
http://vivo.ufl.edu/individual/n3898375935			578	Hume Hall Support Building	
http://vivo.ufl.edu/individual/n3902319933			410	Zeta Tau Alpha	
http://vivo.ufl.edu/individual/n3908930204			727	ACS Housing	
http://vivo.ufl.edu/individual/n3912510741			525	Materials Storage	
http://vivo.ufl.edu/individual/n3933066641			587	Solar Energy Test House	
http://vivo.ufl.edu/individual/n3934369054			369	Maguire 5	
http://vivo.ufl.edu/individual/n3950841178			73	Rolfs Elevator Equipment Bldg	
http://vivo.ufl.edu/individual/n3953528421			668	Electrical Engineering Lab	
http://vivo.ufl.edu/individual/n3961379806			628	Animal Science Pole Barn	
http://vivo.ufl.edu/individual/n3963147106			197	UF Substation #7	
http://vivo.ufl.edu/individual/n3964424973			1171	Softball Batting Cage	
http://vivo.ufl.edu/individual/n3976743075			1278	Urban Entomology	
http://vivo.ufl.edu/individual/n3987554473			113	"Greenhouse, Soils"	
http://vivo.ufl.edu/individual/n4008035391			1213	Soils Building	
http://vivo.ufl.edu/individual/n4022538710			615	IFAS Wildlife Ecology Storage	
http://vivo.ufl.edu/individual/n4029750953			550	Research Laboratory	
http://vivo.ufl.edu/individual/n4041850728			365	Maguire 1	
http://vivo.ufl.edu/individual/n404225935			325	University Village	
http://vivo.ufl.edu/individual/n4048068060			277	Corry	
http://vivo.ufl.edu/individual/n4050524852			702	Physical Plant Maintenance	
http://vivo.ufl.edu/individual/n4051997732			592	East Hall	
http://vivo.ufl.edu/individual/n4058976642			759	Bruton-Geer Hall	
http://vivo.ufl.edu/individual/n4065333287			1198	Speciality Shop	
http://vivo.ufl.edu/individual/n4071646919			1122	Lacrosse Maintenance Building	
http://vivo.ufl.edu/individual/n4078120264			99	Microkelvin Laboratory	
http://vivo.ufl.edu/individual/n4087843158			8	Keene-Flint Hall	
http://vivo.ufl.edu/individual/n4088458284			1055	UF Substation #12	
http://vivo.ufl.edu/individual/n4088672299			204	General Services	
http://vivo.ufl.edu/individual/n4094606010			1377	Emerging Pathogens Institute	
http://vivo.ufl.edu/individual/n409990718			752	Robert Calder Beaty Commons C	
http://vivo.ufl.edu/individual/n4125558654			1206	"Greenhouse, Fruit Crops"	
http://vivo.ufl.edu/individual/n4150767045			820	"Greenhouse, Zoology"	
http://vivo.ufl.edu/individual/n4155560447			456	Vending Machines Shelter	
http://vivo.ufl.edu/individual/n417980844			949	Soils/Fertilizer Storage	
http://vivo.ufl.edu/individual/n4197237314			455	Storage Bldg	
http://vivo.ufl.edu/individual/n420442285			1264	Fruit Crops Pole Barn	
http://vivo.ufl.edu/individual/n4206726628			1217	"Greenhouse, Ornamental Horticulture"	
http://vivo.ufl.edu/individual/n4207394527			1061	UF Substation #11	
http://vivo.ufl.edu/individual/n4213493084			846	"Greenhouse, Food Science"	
http://vivo.ufl.edu/individual/n4216044444			614	Vet Med Pasture Pole Barn	
http://vivo.ufl.edu/individual/n4233025389			1354	Greenhouse	
http://vivo.ufl.edu/individual/n4252890014			422	Zeta Beta Tau	
http://vivo.ufl.edu/individual/n4255989462			1104	Benton Walkways	
http://vivo.ufl.edu/individual/n426763924			688	Harry H. Sisler Hall	
http://vivo.ufl.edu/individual/n4272408991			748	Archie F. Carr Hall	
http://vivo.ufl.edu/individual/n4274060409			493	Food Science Storage	
http://vivo.ufl.edu/individual/n4278783056			276	Corry	
http://vivo.ufl.edu/individual/n4283347432			1100	Mccarty Walkways	
http://vivo.ufl.edu/individual/n4288554647			1156	Ring Varsity Tennis Building	
http://vivo.ufl.edu/individual/n4289804085			205	Dental Science	
http://vivo.ufl.edu/individual/n4315989258			1078	Wwtp Pretreatment Structure	
http://vivo.ufl.edu/individual/n4319322887			1241	Pump Shed	
http://vivo.ufl.edu/individual/n4322511617			40	CNS Generator	
http://vivo.ufl.edu/individual/n4324947151			419	Chi Phi	
http://vivo.ufl.edu/individual/n4339362555			962	Shadehouse	
http://vivo.ufl.edu/individual/n4344710065			1204	"Greenhouse, Ornamental Horticulture"	
http://vivo.ufl.edu/individual/n4367627976			1072	Water Reclamation Chemical Storage	
http://vivo.ufl.edu/individual/n4378518538			82	Cogeneration Plant	
http://vivo.ufl.edu/individual/n4411866944			880	Hispanic/Latino Cultures	
http://vivo.ufl.edu/individual/n4413763890			351	Borc Gatehouse	
http://vivo.ufl.edu/individual/n4418121389			489	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n4420229706			377	Maguire 13	
http://vivo.ufl.edu/individual/n4420441932			682	"Greenhouse, Fruit Crops"	
http://vivo.ufl.edu/individual/n4420591934			1231	Environmental Soil Bin	
http://vivo.ufl.edu/individual/n4429284151			1774	Attendant Booth at Cultural Plaza Parking	
http://vivo.ufl.edu/individual/n4438376129			11	Annie D. Broward Hall	
http://vivo.ufl.edu/individual/n4450624129			694	Shands Biohazard Waste Storage	
http://vivo.ufl.edu/individual/n4460717008			384	Maguire 20	
