Name|State|Longitude|Latitude
Santa Clara|California|37.3646N|121.9679W
Athens|Georgia|33.9496N|83.3701W
Allentown|Pennsylvania|40.5940N|75.4782W
Abilene|Texas|32.4545N|99.7381W
Beaumont|Texas|30.0843N|94.1458W
Vallejo|California|38.1079N|122.2639W
Independence|Missouri|39.0853N|94.3513W
Springfield|Illinois|39.7639N|89.6708W
Ann Arbor|Michigan|42.2756N|83.7313W
Provo|Utah|40.2453N|111.6448W
Peoria|Illinois|40.7523N|89.6171W
Norman|Oklahoma|35.2406N|97.3453W
Berkeley|California|37.8667N|122.2991W
El Monte|California|34.0746N|118.0291W
Murfreesboro|Tennessee|35.8522N|86.4161W
Lansing|Michigan|42.7098N|84.5562W
Columbia|Missouri|38.9479N|92.3261W
Downey|California|33.9382N|118.1309W
Costa Mesa|California|33.6659N|117.9123W
Inglewood|California|33.9561N|118.3443W
Miami Gardens|Florida|25.9489N|80.2436W
Manchester|New Hampshire|42.9847N|71.4439W
Elgin|Illinois|42.0396N|88.3217W
Wilmington|North Carolina|34.2092N|77.8858W
Waterbury|Connecticut|41.5585N|73.0367W
Fargo|North Dakota|46.8652N|96.8290W
Arvada|Colorado|39.8097N|105.1066W
Carlsbad|California|33.1239N|117.2828W
Westminster|Colorado|39.8822N|105.0644W
Rochester|Minnesota|44.0154N|92.4772W
Gresham|Oregon|45.5023N|122.4416W
Clearwater|Florida|27.9795N|82.7663W
Lowell|Massachusetts|42.6389N|71.3221W
West Jordan|Utah|40.6023N|112.0010W
Pueblo|Colorado|38.2731N|104.6124W
San Buenaventura|California|34.2681N|119.2550W
Fairfield|California|38.2568N|122.0397W
West Covina|California|34.0559N|117.9099W
Billings|Montana|45.7895N|108.5499W
Murrieta|California|33.5719N|117.1907W
High Point|North Carolina|35.9855N|79.9902W
Round Rock|Texas|30.5237N|97.6674W
Richmond|California|37.9530N|122.3594W
Cambridge|Massachusetts|42.3760N|71.1183W
Norwalk|California|33.9069N|118.0834W
Odessa|Texas|31.8804N|102.3434W
Antioch|California|37.9775N|121.7976W
Temecula|California|33.5019N|117.1246W
Green Bay|Wisconsin|44.5207N|87.9842W
Everett|Washington|48.0033N|122.1742W
Wichita Falls|Texas|33.9067N|98.5259W
Burbank|California|34.1890N|118.3249W
Palm Bay|Florida|27.9856N|80.6626W
Centennial|Colorado|39.5906N|104.8691W
Daly City|California|37.7009N|122.4650W
Richardson|Texas|32.9723N|96.7081W
Pompano Beach|Florida|26.2426N|80.1290W
Broken Arrow|Oklahoma|36.0365N|95.7810W
