uri	label	narrower	broader
http://vivoweb.org/ontology/degree/academicDegree143	Pharm.M. Master of Pharmacy		
http://vivoweb.org/ontology/degree/academicDegree144	V.M.D. Veterinariae Medicinae Doctoris		
http://vivoweb.org/ontology/degree/academicDegree145	Au.D. Doctor of Audiology		
http://vivoweb.org/ontology/degree/academicDegree146	D.H.Ed. Doctor of Health Education		
http://vivoweb.org/ontology/degree/academicDegree147	M.P.A.S. Master in Physician Assistant Studies		
http://vivoweb.org/ontology/degree/academicDegree148	Dr.P.H. Doctor of Public Health		
http://vivoweb.org/ontology/degree/academicDegree149	H.S.C. Higher School Certificate		
http://vivoweb.org/ontology/degree/academicDegree15	B.Ch.E Bachelor of Chemical Engineering		
http://vivoweb.org/ontology/degree/academicDegree150	M.M.Sc. Master of Medical Science		
http://vivoweb.org/ontology/degree/academicDegree16	B.C.L. Bachelor of Canon Law		
http://vivoweb.org/ontology/degree/academicDegree17	B.D. Bachelor of Divinity		
http://vivoweb.org/ontology/degree/academicDegree18	B.E. Bachelor of Education		
http://vivoweb.org/ontology/degree/academicDegree19	B.E. Bachelor of Engineering		
http://vivoweb.org/ontology/degree/academicDegree2	AeEng. Aeronautical Engineer		
http://vivoweb.org/ontology/degree/academicDegree20	B.E.E. Bachelor of Electrical Engineering		
http://vivoweb.org/ontology/degree/academicDegree21	B.F. Bachelor of Forestry		
http://vivoweb.org/ontology/degree/academicDegree22	B.F.A. Bachelor of Fine Arts		
http://vivoweb.org/ontology/degree/academicDegree23	B.J. Bachelor of Journalism		
http://vivoweb.org/ontology/degree/academicDegree24	B.L.S. Bachelor of Liberal Studies		
http://vivoweb.org/ontology/degree/academicDegree25	B.L.S. Bachelor of Library Science		
http://vivoweb.org/ontology/degree/academicDegree26	B.Lit. Bachelor of Literature		
http://vivoweb.org/ontology/degree/academicDegree27	B.M. Bachelor of Medicine		
http://vivoweb.org/ontology/degree/academicDegree28	B.M. Bachelor of Music		
http://vivoweb.org/ontology/degree/academicDegree29	B.M.S. Bachelor of Marine Science		
http://vivoweb.org/ontology/degree/academicDegree3	A.M.T. Master of Arts in Teaching		
